"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",1,72,72,72,72,72,72,72,72,72
"GET /assets/acm/i18n/en.json",1,37,37,37,37,37,37,37,37,37
"GET /assets/acm/i18n/toyota/com/en-legal.json",1,34,34,34,34,34,34,34,34,34
"GET /assets/acm/i18n/toyota/com/en-privacy.json",1,46,46,46,46,46,46,46,46,46
"GET /assets/subscription/i18n/en.json",1,26,26,26,26,26,26,26,26,26
"GET /fonts/ToyotaType-Bold.ttf",1,250,250,250,250,250,250,250,250,250
"GET /fonts/ToyotaType-Book.ttf",1,36,36,36,36,36,36,36,36,36
"GET /fonts/ToyotaType-Regular.ttf",1,35,35,35,35,35,35,35,35,35
"GET /icon?family=Material+Icons",1,37,37,37,37,37,37,37,37,37
"GET /imgs/acm/logo.svg",1,26,26,26,26,26,26,26,26,26
"GET /main.js",1,140,140,140,140,140,140,140,140,140
"GET /nfImg/notfound.png",1,29,29,29,29,29,29,29,29,29
"GET /polyfills.js",1,53,53,53,53,53,53,53,53,53
"GET /products/v1/packages",1,12,12,12,12,12,12,12,12,12
"OPTIONS /products/v1/packages",1,22,22,22,22,22,22,22,22,22
"GET /runtime.js",1,23,23,23,23,23,23,23,23,23
"GET /s/materialicons/v41/flUhRq6tzZclQEJ-Vdg-IuiaDsNc.woff2",1,38,38,38,38,38,38,38,38,38
"GET /styles.js",1,24,24,24,24,24,24,24,24,24
"OPTIONS /subscription/v1/create",1,33,33,33,33,33,33,33,33,33
"POST /subscription/v1/create",1,2100,2100,2100,2100,2100,2100,2100,2100,2100
"GET /v1/account",1,80,80,80,80,80,80,80,80,80
"OPTIONS /v1/account",2,33,33,33,33,33,33,33,33,33
"POST /v1/account",1,1300,1300,1300,1300,1300,1300,1300,1300,1300
"GET /v1/vehicle/1GTP1VD25BEGDSLY6",1,76,76,76,76,76,76,76,76,76
"OPTIONS /v1/vehicle/1GTP1VD25BEGDSLY6",1,25,25,25,25,25,25,25,25,25
"GET /v1/vehicleAssociation",1,11,11,11,11,11,11,11,11,11
"OPTIONS /v1/vehicleAssociation",1,63,63,63,63,63,63,63,63,63
"OPTIONS /vehicle-association/v1/create",1,22,22,22,22,22,22,22,22,22
"POST /vehicle-association/v1/create",1,240,240,240,240,240,240,240,240,240
"GET /vendor.js",1,190,190,190,190,190,190,190,190,190
"Total",31,36,53,76,80,240,1300,2100,2100,2100
